,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,M,Central,Central,Arts,Commerce,Science,Comm&Mgmt,Sci&Tech,worked_yes,Mkt&HR,Placed
0,67.0,91.0,58.0,55.0,58.8,270000.0,1,0,0,0,1,0,0,1,0,1,1
1,79.33,78.33,77.48,86.5,66.28,200000.0,1,1,0,0,0,1,0,1,1,0,1
2,65.0,68.0,64.0,75.0,57.8,250000.0,1,1,1,1,0,0,1,0,0,0,1
3,56.0,52.0,52.0,66.0,59.43,0.0,1,1,1,0,0,1,0,1,0,1,0
4,85.8,73.6,73.3,96.8,55.5,425000.0,1,1,1,0,1,0,1,0,0,0,1
5,55.0,49.8,67.25,55.0,51.58,0.0,1,0,0,0,0,1,0,1,1,0,0
6,46.0,49.2,79.0,74.28,53.29,0.0,0,0,0,0,1,0,1,0,0,0,0
7,82.0,64.0,66.0,67.0,62.14,252000.0,1,1,1,0,0,1,0,1,1,0,1
8,73.0,79.0,72.0,91.34,61.29,231000.0,1,1,1,0,1,0,1,0,0,0,1
9,58.0,70.0,61.0,54.0,52.21,0.0,1,1,1,0,1,0,1,0,0,0,0
10,58.0,61.0,60.0,62.0,60.85,260000.0,1,1,1,0,1,0,1,0,1,1,1
11,69.6,68.4,78.3,60.0,63.7,250000.0,1,1,1,0,1,0,1,0,1,0,1
12,47.0,55.0,65.0,62.0,65.04,0.0,0,1,0,0,0,1,1,0,0,1,0
13,77.0,87.0,59.0,68.0,68.63,218000.0,0,1,1,0,1,0,1,0,0,0,1
14,62.0,47.0,50.0,76.0,54.96,0.0,1,1,1,0,1,0,1,0,0,1,0
15,65.0,75.0,69.0,72.0,64.66,200000.0,0,1,1,0,1,0,1,0,1,0,1
16,63.0,66.2,65.6,60.0,62.54,300000.0,1,1,1,0,1,0,1,0,1,0,1
17,55.0,67.0,64.0,60.0,67.28,0.0,0,1,1,0,1,0,1,0,0,0,0
18,63.0,66.0,64.0,68.0,64.08,0.0,0,1,1,0,1,0,1,0,0,1,0
19,60.0,67.0,70.0,50.48,77.89,236000.0,1,0,0,1,0,0,1,0,1,0,1
20,62.0,65.0,66.0,50.0,56.7,265000.0,1,0,0,0,1,0,1,0,0,1,1
21,79.0,76.0,85.0,95.0,69.06,393000.0,0,0,0,0,1,0,1,0,0,0,1
22,69.8,60.8,72.23,55.53,68.81,360000.0,0,0,0,0,0,1,0,1,0,1,1
23,77.4,60.0,64.74,92.0,63.62,300000.0,0,0,0,0,0,1,0,1,1,0,1
